epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,197.051,1.46809,3.56638,1.55653,0.38898,0.41482,0.35741,0.22238,1.31842,3.6307,1.50186,0.00020803,0.00020803,0.00020803
2,391.072,1.40041,2.47231,1.49907,0.60452,0.51868,0.54684,0.36167,1.26271,2.05277,1.46362,0.000408119,0.000408119,0.000408119
3,577.499,1.37617,2.13498,1.47835,0.6343,0.51984,0.57017,0.38183,1.22311,1.87198,1.41935,0.000599959,0.000599959,0.000599959
4,765.695,1.32195,1.91413,1.43632,0.71057,0.54138,0.63699,0.43281,1.15488,1.53355,1.37995,0.000587875,0.000587875,0.000587875
5,953.068,1.26715,1.75739,1.39244,0.73296,0.60297,0.69058,0.47202,1.1206,1.43325,1.3317,0.0005755,0.0005755,0.0005755
6,1140.36,1.22134,1.62015,1.3628,0.75515,0.62533,0.71191,0.51541,1.02401,1.29746,1.27871,0.000563125,0.000563125,0.000563125
7,1327.47,1.18532,1.53719,1.33777,0.77833,0.66318,0.75662,0.55122,1.01249,1.19362,1.25543,0.00055075,0.00055075,0.00055075
8,1515.49,1.1534,1.46878,1.31709,0.77606,0.68999,0.76895,0.57333,0.96801,1.09662,1.22234,0.000538375,0.000538375,0.000538375
9,1701.33,1.1245,1.39217,1.29599,0.83247,0.70058,0.79782,0.59228,0.95861,1.01711,1.21006,0.000526,0.000526,0.000526
10,1886.77,1.11737,1.36696,1.29078,0.87192,0.70225,0.8145,0.61296,0.91506,0.97665,1.18265,0.000513625,0.000513625,0.000513625
11,2071.23,1.0847,1.31002,1.27027,0.84015,0.69392,0.80099,0.60591,0.91962,0.97377,1.18273,0.00050125,0.00050125,0.00050125
12,2254.91,1.06668,1.2732,1.26087,0.84942,0.73461,0.82565,0.62923,0.89087,0.8915,1.17067,0.000488875,0.000488875,0.000488875
13,2446.66,1.04734,1.22396,1.24594,0.82643,0.77184,0.83881,0.64484,0.87382,0.85762,1.1521,0.0004765,0.0004765,0.0004765
14,2629.94,1.04073,1.20137,1.23703,0.85019,0.75574,0.84026,0.64106,0.87211,0.86505,1.14582,0.000464125,0.000464125,0.000464125
15,2814.56,1.01554,1.1627,1.22052,0.86872,0.75297,0.85227,0.65957,0.84603,0.78677,1.13505,0.00045175,0.00045175,0.00045175
16,3011.43,1.01431,1.1453,1.22226,0.87186,0.77371,0.85932,0.66568,0.84124,0.77327,1.13295,0.000439375,0.000439375,0.000439375
17,3205.38,0.98936,1.09809,1.20575,0.86733,0.76667,0.85703,0.6645,0.83968,0.7675,1.13491,0.000427,0.000427,0.000427
18,3399.83,0.98083,1.08556,1.20105,0.88979,0.77742,0.86758,0.68304,0.82228,0.73557,1.12017,0.000414625,0.000414625,0.000414625
19,3589.57,0.98034,1.07493,1.19342,0.88406,0.78966,0.87568,0.68664,0.81246,0.72407,1.10961,0.00040225,0.00040225,0.00040225
20,3780.15,0.96954,1.05187,1.18884,0.89083,0.7925,0.87535,0.68753,0.80544,0.70255,1.10829,0.000389875,0.000389875,0.000389875
21,3972.18,0.95307,1.02945,1.18273,0.87638,0.80462,0.8786,0.68898,0.80068,0.69997,1.10295,0.0003775,0.0003775,0.0003775
22,4163.7,0.94593,1.0081,1.17624,0.90185,0.79626,0.88515,0.69478,0.79944,0.67665,1.09695,0.000365125,0.000365125,0.000365125
23,4351.02,0.9372,0.98411,1.16879,0.87959,0.81565,0.88148,0.69568,0.79345,0.66993,1.09856,0.00035275,0.00035275,0.00035275
24,4542.97,0.91703,0.956,1.15718,0.90511,0.81445,0.89241,0.71238,0.76626,0.64073,1.08057,0.000340375,0.000340375,0.000340375
25,4733.76,0.92676,0.96629,1.16264,0.89071,0.81807,0.88949,0.70732,0.76642,0.64923,1.08032,0.000328,0.000328,0.000328
26,4922.39,0.90994,0.93799,1.15617,0.91159,0.82183,0.89646,0.71401,0.76807,0.62301,1.08443,0.000315625,0.000315625,0.000315625
27,5111.19,0.90901,0.93468,1.14848,0.92482,0.8062,0.89611,0.71754,0.75654,0.62444,1.06837,0.00030325,0.00030325,0.00030325
28,5299.91,0.89287,0.90366,1.14124,0.92807,0.81257,0.89952,0.72309,0.74725,0.60634,1.06563,0.000290875,0.000290875,0.000290875
29,5490.68,0.88833,0.90794,1.1395,0.90972,0.82771,0.89641,0.72126,0.74173,0.61384,1.06693,0.0002785,0.0002785,0.0002785
30,5678.06,0.8827,0.88967,1.13539,0.8981,0.83941,0.89671,0.7292,0.73777,0.60181,1.05941,0.000266125,0.000266125,0.000266125
31,5869.12,0.88298,0.87105,1.1349,0.91088,0.83431,0.89817,0.72376,0.74249,0.59572,1.06064,0.00025375,0.00025375,0.00025375
32,6060.53,0.865,0.86083,1.12388,0.91127,0.83219,0.90229,0.73368,0.72538,0.58187,1.05298,0.000241375,0.000241375,0.000241375
33,6247.53,0.85663,0.8473,1.12285,0.92473,0.82359,0.90233,0.73305,0.72246,0.57455,1.04879,0.000229,0.000229,0.000229
34,6435.47,0.85949,0.84212,1.11938,0.9084,0.84634,0.90941,0.73881,0.72367,0.56876,1.04941,0.000216625,0.000216625,0.000216625
35,6621.99,0.84194,0.82779,1.10835,0.91838,0.83558,0.90876,0.74005,0.71689,0.56335,1.04427,0.00020425,0.00020425,0.00020425
36,6811.24,0.83812,0.81331,1.10884,0.89999,0.85388,0.90915,0.73751,0.71638,0.55846,1.04167,0.000191875,0.000191875,0.000191875
37,6998.45,0.83588,0.81442,1.1087,0.92851,0.83528,0.90911,0.74287,0.71105,0.55182,1.03946,0.0001795,0.0001795,0.0001795
38,7191.66,0.82652,0.79462,1.10099,0.91057,0.85577,0.90975,0.7431,0.71101,0.54229,1.0402,0.000167125,0.000167125,0.000167125
